"CLIENT_ID","CARD_TYPE","PRODUCT_CODE","CС_LIMIT_NVAL","СС_GRACE_PERIOD","CURR_RATE","OPEN_DT","СС_OVERDUE_IND"
"39080","кредитная","CC_BLOCKBUSTER_31.9","40000","92","31.9","7/11/2023","0"
"7521","кредитная","CC_BLOCKBUSTER_31.9","30000","361","31.9","7/3/2023","0"
"19457","кредитная","CC_BLOCKBUSTER_ONLINE_31.9","50001","359","31.9","7/3/2023","0"
"5601","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","29500","207","27.9","11/22/2023","0"
"24068","кредитная","CC_GRACE145_33.9","20000","56","69.9","5/16/2023","1"
"14676","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","50000","208","27.9","8/31/2023","0"
"13919","кредитная","CC_GRACE145_repr3","61000","55","14.9","9/20/2022","0"
"25754","кредитная","CC_GRACE145_repr3","60000","55","14.9","10/17/2022","0"
"15668","кредитная","CC_BB_5.0_VRT","100000","85","18.9","3/25/2024","0"
"17411","кредитная","CC_BLOCKBUSTER_31.9","120000","298","31.9","8/4/2023","0"
"21823","кредитная","CC_GRACE145_repr3","50000","146","69.9","12/15/2022","0"
"19590","кредитная","CC_BLOCKBUSTER_31.9","66000","328","31.9","7/5/2023","0"
"270","кредитная","CC_GRACE145_repr3","62000","85","69.9","1/17/2023","0"
"4750","кредитная","CC_BLOCKBUSTER_ONLINE_33.9","240000","328","33.9","7/1/2023","0"
"28652","кредитная","CC_GRACE145_repr3","60000","86","14.9","5/11/2023","0"
"31776","кредитная","CC_BLOCKBUSTER_31.9","174000","116","31.9","8/5/2023","0"
"36378","кредитная","CC_BLOCKBUSTER_31.9","60001","329","31.9","7/4/2023","0"
"11167","кредитная","CC_GRACE145_24.9","150001","55","24.9","2/22/2022","1"
"34406","кредитная","CC_BLOCKBUSTER_31.9","299000","351","31.9","7/1/2023","0"
"24921","кредитная","CC_BLOCKBUSTER_ONLINE_33.9","40000","357","33.9","6/29/2023","0"
"31579","кредитная","CC_BLOCKBUSTER_31.9","50000","313","9.9","7/20/2023","0"
"8656","кредитная","CC_GRACE145_repr3","80000","147","14.9","10/31/2022","0"
"22986","кредитная","CC_BLOCKBUSTER_33.9","50000","328","33.9","6/24/2023","0"
"5197","кредитная","CC_BLOCKBUSTER_31.9","50000","272","31.9","8/18/2023","0"
"20197","кредитная","CC_BLOCKBUSTER_ONLINE_31.9","40000","328","31.9","7/5/2023","0"
"3188","кредитная","CC_GRACE145_repr3","30000","56","14.9","11/22/2022","0"
"20730","кредитная","CC_GRACE145_repr3","279000","55","14.9","4/9/2022","0"
"5263","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","60000","292","27.9","8/28/2023","0"
"24275","кредитная","CC_GRACE145_ONLINE_repr3","299000","117","14.9","3/27/2023","0"
"33620","кредитная","CC_BLOCKBUSTER_31.9","235001","93","31.9","7/7/2023","0"
"14793","кредитная","CC_BLOCKBUSTER_33.9","301000","356","33.9","6/7/2023","0"
"26466","кредитная","CC_BLOCKBUSTER_31.9","116000","326","31.9","7/8/2023","0"
"34995","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","299000","56","27.9","10/4/2023","0"
"18250","кредитная","CC_GRACE145_ONLINE_Q3_23","299000","56","31.9","10/16/2023","0"
"4766","кредитная","CC_BLOCKBUSTER_ONLINE_31.9","121000","361","31.9","7/3/2023","0"
"9531","кредитная","CC_BLOCKBUSTER_31.9","40000","353","31.9","7/11/2023","0"
"38157","кредитная","CC_BLOCKBUSTER_ONLINE_31.9","25000","309","31.9","8/9/2023","0"
"32700","кредитная","CC_BB_4.0","181000","86","20.9","3/25/2024","0"
"22532","кредитная","CC_BB_4.0","100000","142","20.9","1/26/2024","0"
"33875","кредитная","CC_GRACE145_repr3","90000","269","14.9","5/10/2023","0"
"17862","кредитная","CC_BLOCKBUSTER_ONLINE_31.9","29500","360","31.9","7/4/2023","0"
"36766","кредитная","CC_BLOCKBUSTER_31.9","120000","86","31.9","7/28/2023","0"
"30018","кредитная","CC_BLOCKBUSTER_ONLINE_33.9","120000","207","33.9","6/2/2023","0"
"4333","кредитная","CC_BLOCKBUSTER_31.9","75001","323","31.9","7/25/2023","0"
"31395","кредитная","CC_GRACE145_ONLINE_28.9","94000","115","28.9","7/7/2022","0"
"11473","кредитная","CC_BLOCKBUSTER_31.9","50000","359","31.9","7/3/2023","0"
"31059","кредитная","CC_BLOCKBUSTER_31.9","40000","177","31.9","7/24/2023","1"
"14502","кредитная","CC_GRACE145_repr3","80000","188","14.9","11/14/2022","1"
"1711","кредитная","CC_BLOCKBUSTER_31.9","40000","298","31.9","8/1/2023","0"
"31628","кредитная","CC_GRACE145_ONLINE_repr3","20000","381","69.9","2/20/2023","0"
"34246","кредитная","CC_GRACE145_ONLINE_28.9","200001","56","28.9","8/11/2022","1"
"30238","кредитная","CC_BLOCKBUSTER_31.9","60000","360","31.9","7/4/2023","0"
"22107","кредитная","CC_GRACE145_34.9","50000","55","34.9","2/22/2023","0"
"20053","кредитная","CC_GRACE145_ONLINE_repr3","100001","55","14.9","5/16/2022","1"
"19855","кредитная","CC_BLOCKBUSTER_31.9","35000","329","31.9","7/5/2023","0"
"10323","кредитная","CC_BLOCKBUSTER_31.9","50000","302","31.9","7/31/2023","0"
"25599","кредитная","CC_BLOCKBUSTER_31.9","40000","325","31.9","7/8/2023","0"
"14126","кредитная","CC_GRACE145_repr3","50001","116","14.9","5/16/2022","0"
"5782","кредитная","CC_GRACE145_repr3","290000","269","14.9","2/2/2023","0"
"33403","кредитная","CC_GRACE145_repr3","300000","55","14.9","8/29/2022","0"
"26800","кредитная","CC_BLOCKBUSTER_ONLINE_33.9","50000","342","33.9","7/17/2023","0"
"17274","кредитная","CC_BB_4.0","135000","85","20.9","3/12/2024","0"
"19325","кредитная","CC_GRACE145_repr3","225000","115","14.9","1/21/2023","0"
"19215","кредитная","CC_BLOCKBUSTER_31.9","25000","356","31.9","7/8/2023","0"
"26619","кредитная","CC_BLOCKBUSTER_33.9","34001","358","33.9","6/23/2023","0"
"18088","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","100000","200","27.9","11/9/2023","0"
"32882","кредитная","CC_GRACE145_ONLINE_29.9","75001","86","69.9","1/25/2023","1"
"35534","кредитная","CC_GRACE145_repr3","300000","55","14.9","11/28/2022","0"
"25429","кредитная","CC_BB_5.0_VRT","50000","83","18.9","3/22/2024","0"
"34671","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","40000","263","27.9","9/4/2023","0"
"23659","кредитная","CC_GRACE145_ONLINE_repr3","90000","115","14.9","9/15/2022","0"
"967","кредитная","CC_GRACE145_repr3","40000","56","14.9","12/13/2022","0"
"32566","кредитная","CC_GRACE145_ONLINE_28.9","150000","56","69.9","10/12/2022","1"
"3109","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","29500","147","27.9","9/1/2023","0"
"9033","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","200000","187","27.9","10/12/2023","0"
"21947","кредитная","CC_BLOCKBUSTER_31.9","285001","228","31.9","7/8/2023","0"
"20231","кредитная","CC_GRACE145_repr3","200000","55","14.9","11/24/2022","0"
"19515","кредитная","CC_GRACE145_repr3","150000","146","14.9","11/12/2022","0"
"4695","кредитная","CC_BLOCKBUSTER_2.0_ONLINE_Q3_23","10000","214","27.9","11/30/2023","0"
"32470","кредитная","CC_GRACE145_repr3","301000","56","14.9","12/6/2022","0"
"21735","кредитная","CC_BB_5.0","100000","55","18.9","5/7/2024","0"
"10361","кредитная","CC_GRACE145_repr3","80000","218","14.9","12/26/2022","0"
"2084","кредитная","CC_BLOCKBUSTER_31.9","200000","329","31.9","7/11/2023","0"
"30324","кредитная","CC_BLOCKBUSTER_ONLINE_33.9","40000","391","33.9","6/13/2023","0"
"13729","кредитная","CC_BLOCKBUSTER_31.9","30001","325","31.9","7/8/2023","0"
"22996","кредитная","CC_GRACE145_repr3","112000","86","14.9","2/22/2023","0"
"29734","кредитная","CC_GRACE145_repr3","199000","115","14.9","1/9/2023","0"
"38219","кредитная","CC_GRACE145_ONLINE_Q3_23","75000","115","31.9","9/4/2023","0"
"36784","кредитная","CC_BLOCKBUSTER_31.9","25000","327","31.9","8/14/2023","0"
"15228","кредитная","CC_GRACE145_repr3","160000","55","14.9","11/19/2022","0"
"19143","кредитная","CC_GRACE145_24.9","300000","57","24.9","2/12/2022","0"
"36308","кредитная","CC_GRACE145_34.9","80000","115","69.9","3/25/2022","0"
"22539","кредитная","CC_GRACE145_repr3","71001","56","14.9","10/8/2022","0"
"3737","кредитная","CC_BLOCKBUSTER_31.9","30000","55","31.9","7/7/2023","0"
"15940","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","50001","207","27.9","11/2/2023","0"
"14392","кредитная","CC_BLOCKBUSTER_2.0_Q3_23","151000","191","27.9","12/11/2023","0"
"23035","кредитная","CC_BLOCKBUSTER_31.9","20000","328","31.9","7/13/2023","0"
"23390","кредитная","CC_BLOCKBUSTER_31.9","150001","328","31.9","7/6/2023","0"
"16794","кредитная","CC_GRACE145_repr3","201000","146","14.9","7/2/2022","0"
"15945","кредитная","CC_GRACE145_ONLINE_repr3","206000","56","69.9","1/16/2023","0"
"36602","кредитная","CC_BLOCKBUSTER_31.9","240000","360","31.9","7/4/2023","0"
"4286","кредитная","CC_GRACE145_repr3","60000","146","69.9","9/24/2022","0"
"21430","кредитная","CC_BLOCKBUSTER_31.9","75001","329","31.9","7/4/2023","0"
"20272","кредитная","CC_GRACE145_repr3","40000","86","14.9","10/27/2022","0"
"23619","кредитная","CC_BB_4.0","220000","110","20.9","2/20/2024","0"
"31315","кредитная","CC_GRACE145_Q3_23","18000","86","69.9","11/6/2023","0"
"7451","кредитная","CC_GRACE145_repr3","100001","55","14.9","1/25/2023","0"
"29235","кредитная","CC_BLOCKBUSTER_31.9","60000","177","31.9","7/8/2023","1"
"9431","кредитная","CC_GRACE145_repr3","40000","55","14.9","8/1/2022","0"
"6591","кредитная","CC_GRACE145_repr3","30000","284","14.9","10/19/2022","1"
"12755","кредитная","CC_GRACE145_repr3","51000","115","14.9","4/3/2023","0"
"25825","кредитная","CC_GRACE145_repr3","156000","146","14.9","3/22/2022","0"
"22826","кредитная","CC_GRACE145_28.9","40000","208","28.9","9/13/2022","0"
"5657","кредитная","CC_BLOCKBUSTER_31.9","80000","55","31.9","7/4/2023","0"
"24316","кредитная","CC_GRACE145_28.9","300000","55","69.9","9/15/2022","0"
"3661","кредитная","CC_BLOCKBUSTER_31.9","10000","359","31.9","7/3/2023","0"
"33238","кредитная","CC_GRACE145_repr3","40000","56","14.9","1/9/2023","0"
"35552","кредитная","CC_GRACE145_repr3","80000","115","14.9","10/24/2022","0"
"36441","кредитная","CC_GRACE145_repr3","200000","56","14.9","10/27/2022","0"
"36997","кредитная","CC_GRACE145_repr3","70000","55","14.9","10/13/2022","1"
"1250","кредитная","CC_BB_4.0","136000","144","20.9","2/6/2024","0"
"30765","кредитная","CC_GRACE145_repr3","90000","86","14.9","1/17/2023","0"
"12970","кредитная","CC_BLOCKBUSTER_31.9","150000","327","31.9","7/6/2023","0"
"11161","кредитная","CC_GRACE145_repr3","80000","55","69.9","3/25/2023","0"
"19266","кредитная","CC_BLOCKBUSTER_31.9","100000","327","31.9","7/8/2023","0"
"34351","кредитная","CC_BLOCKBUSTER_ONLINE_31.9","29000","146","31.9","9/9/2023","0"
"1835","кредитная","CC_GRACE145_Ref_33.9","80000","146","33.9","5/2/2023","0"
"37308","кредитная","CC_GRACE145_repr3","100000","147","14.9","1/16/2023","0"
