"CLIENT_ID","AGE","REGION","GENDER","JOB","ORGANIZATION","INCOME","MARITAL_STATUS","IP_FLAG","SME_FLAG","EMPLOYEE_FLAG","REFUGEE_FLAG","PDN"
"22","37","Калужская","2","","ИП ГАСПАРЯН АНЖЕЛА МКРТЫЧЕВНА","105000","Неизвестно","0","0","0","0","60.8"
"23","33","Санкт-Петербург","2","","ООО ""АЛЕКС-ГРУП""","80000","Не женат / не замужем","0","0","0","0","8.4"
"49","47","Челябинская","1","","ООО ФИРМА ""ИНТЕРСВЯЗЬ""","40000","Не женат / не замужем","0","0","0","0","82.4"
"53","36","Тюменская","1","","ФГКУ ""УВО ВНГ РОССИИ ПО ТЮМЕНСКОЙ ОБЛАСТИ""","35000","Неизвестно","0","0","0","0","118.5"
"55","43","Москва","1","","САМОЗАНЯТЫЙ","100000","Женат / замужем","0","0","0","0","49.8"
"118","76","Сахалинская","2","","ПЕНСИОННЫЙ ФОНД РФ","35000","Не женат / не замужем","0","0","0","0","8.3"
"143","38","Кемеровская область - Кузбасс","2","","ЧУЗ ПОЛИКЛИНИКА ОВУМ","50000","Женат / замужем","0","0","0","0","36.1"
"144","70","Санкт-Петербург","1","","СПБГЭТУ ""ЛЭТИ""","115000","Неизвестно","0","0","0","0","71.8"
"145","69","Тюменская","1","","ПЕНСИОННЫЙ ФОНД РФ","50000","Разведен / Разведена","0","0","0","0","16.1"
"148","54","Челябинская","1","","ООО ""КОМПАНИЯ ЧЕЛЯБМЕТИЗ""","60000","Вдовец / Вдова","0","0","0","0","46.7"
"154","31","Пермский","2","","ООО КОДКОММИТ","250000","Разведен / Разведена","0","0","0","0","6.2"
"174","40","Чувашская Республика -","2","","МАОУ ""СОШ № 1"" Г. ЧЕБОКСАРЫ","30000","Женат / замужем","0","0","0","0","12.3"
"182","29","Мордовия","1","","АО ""ТАНДЕР""","60000","Не женат / не замужем","0","0","0","0","23.8"
"198","55","Краснодарский","2","","ООО ТД ТЕРМИНАЛ","70000","Женат / замужем","0","0","0","0","108.2"
"217","39","Татарстан","1","","УТНГП","60000","Женат / замужем","0","0","0","0","4"
"224","49","Нижегородская","1","","СНТ ИМ 40 ЛЕТ ПОБЕДЫ","270000","Неизвестно","0","0","0","0","32.2"
"226","32","Белгородская","1","","ООО МЦ БЕЛОГОРЬЕ","120000","Женат / замужем","0","0","0","0","19.1"
"240","33","Адыгея","2","","ООО САМОЛЕТ-ПРОЕКТ","150000","Женат / замужем","0","0","0","0","33.3"
"245","38","Москва","2","","МИНЗДРАВ РОССИИ","97000","Не женат / не замужем","0","0","0","0","23.4"
"255","43","Москва","2","","ГБУЗ ""ЦЕНТР ПАЛЛИАТИВНОЙ ПОМОЩИ ДЗМ""","80000","Неизвестно","0","0","0","0","33.6"
"270","27","Тюменская","2","","ОАО ТРИЦ","41000","Разведен / Разведена","0","0","0","0","78.1"
"271","42","Волгоградская","2","","ИП ЖУМГАЛИЕВА Т.Б.","120000","Неизвестно","0","0","0","0","42.6"
"276","35","Кабардино-Балкарская","2","","РЕСПУБЛИКАНСКИЙ СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР МЗ КБР","95000","Не женат / не замужем","0","0","0","0","52.5"
"285","30","Белгородская","1","","АО ""ТИНЬКОФФ БАНК""","60000","Женат / замужем","0","0","0","0","9.1"
"316","32","Удмуртская","2","","ООО ""ЯНДЕКС""","30000","Женат / замужем","0","0","0","0","87.9"
"321","36","Московская","1","","ФГУП ""ВНИИА""","150000","Неизвестно","0","0","0","0","75.8"
"347","21","Северная Осетия - Алания","1","","ООО ""КРЫЛЬЯ""","70000","Не женат / не замужем","0","0","0","0","41.9"
"385","30","Тамбовская","2","","ООО ""ЛДЦ МИБС - ТАМБОВ""","90000","Женат / замужем","0","0","0","0","89.8"
"410","37","Белгородская","2","","БЕЛГОРРДМЕТАЛЛОСНАБ","30000","Женат / замужем","0","0","0","0","18.7"
"439","51","Липецкая","2","","ДОУ 116 Г.ЛИПЕЦКА","65000","Неизвестно","0","0","0","0","27.9"
"451","31","Московская","2","","КБ ""РЕНЕССАНС КРЕДИТ"" (ООО)","190000","Не женат / не замужем","0","0","0","0","45.9"
"452","26","Нижегородская","2","","АО АТОМТЕХЭНЕРГО","120000","Не женат / не замужем","0","0","0","0","14.7"
"676","47","Мордовия","2","","ООО ""САРАНСКИЙ ЗАВОД ЛИЦЕВОГО КИРПИЧА""","35000","Неизвестно","0","0","0","0","33.8"
"689","39","Омская","2","","ООО ПРАВОВОЙ ЦЕНТР ОДА","60000","Разведен / Разведена","0","0","0","0","89.3"
"694","39","Омская","1","","ООО ""ЕНИСЕЙ-СЕРВИС""","120000","Женат / замужем","0","0","0","0","21"
"700","38","Санкт-Петербург","1","","ФИЛИАЛ ПАО ""ГАЗПРОМ"" ""ГЛАВНОЕ УПРАВЛЕНИЕ ОХРАНЫ ПАО ""ГАЗПРОМ"" В Г. САН","220000","Неизвестно","0","0","0","0","57.5"
"706","66","Чеченская","2","","ПФР ПО ЧР","37700","Не женат / не замужем","0","0","0","0","27.6"
"708","64","Пензенская","2","","ПЕНСИОННЫЙ ФОНД РФ","13100","Неизвестно","0","0","0","0","66.9"
