"CLIENT_ID","CREDIT_TYPE","CREDIT_PURCHASE","PRODUCT_CODE","TERM","ORIG_AMOUNT","CURR_RATE_NVAL","VALUE_DT","OVERDUE_IND"
"9627","705","Хобби, собственное дело","GP Direct","24M","59800","24.9","2/21/2019","1"
"18589","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","186913","23.3","2/21/2019","1"
"5851","704","Прочее (укажите)","GP Cross-Sale","27M","83664","23.7","2/25/2019","1"
"10227","704","Ремонт, строительство","GP Cross-Sale","48M","111956.8","23.3","2/25/2019","1"
"470","704","Покупка мебели, бытовой техники","GP Cross-Sale","48M","500000","19.5","2/25/2019","1"
"10414","705","Покупка мебели, бытовой техники","GP Direct","60M","144556","23.9","2/28/2019","1"
"11030","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","299106.5","23.9","2/28/2019","1"
"13381","501","","Standard Installment Loan","24M","59262","16.13","2/28/2019","1"
"16727","704","Ремонт, строительство","GP Cross-Sale","60M","374232","19.5","2/28/2019","0"
"16630","501","","Standard Installment Loan","36M","59681","8.49","2/28/2019","0"
"17138","503","","Promo Beneficial Installment Loan","10M","29381","23.65","2/28/2019","1"
"18684","503","","Promo Beneficial Installment Loan","12M","16409","23.72","2/28/2019","1"
"9797","704","Ремонт, строительство","GP Cross-Sale","57M","613294","19.5","3/13/2019","0"
"5504","501","","Standard Installment Loan","36M","40959","17.54","3/18/2019","1"
"4356","704","Возврат денег (родственникам, друзьям)","GP Cross-Sale","39M","277001","22.5","3/4/2019","1"
"18267","501","","Standard Installment Loan","24M","65359","17.54","3/5/2019","1"
"13455","503","","Promo Beneficial Installment Loan","6M","23746.77","17.83","3/5/2019","1"
"12167","503","","Promo Beneficial Installment Loan","12M","27788.4","19.91","3/5/2019","0"
"1496","705","Ремонт, строительство","GP Direct","60M","500000","19.5","3/5/2019","1"
"8498","707","Ремонт, строительство","GP Top-Up","57M","699953.77","19.1","3/7/2019","1"
"12905","501","","Standard Installment Loan","36M","60999","17.54","3/11/2019","1"
"4977","705","Прочее (укажите)","GP Direct","27M","59029.6","24.9","3/12/2019","1"
"6435","503","","Promo Beneficial Installment Loan","10M","8675","23.65","3/12/2019","1"
"15475","501","","Standard Installment Loan","24M","79499","17.54","3/15/2019","0"
"18764","704","Подарки","GP Cross-Sale","39M","499271","19.5","3/14/2019","1"
"14879","705","Хобби, собственное дело","GP Direct","60M","299800","23.9","3/15/2019","1"
"23904","704","Ремонт, строительство","GP Cross-Sale","27M","68325.6","22.5","3/15/2019","1"
"3486","503","","Promo Beneficial Installment Loan","12M","9512.1","19.91","3/15/2019","1"
